Primary comparison: Stage-I + VP vs Stage-I + Stage-II + VP
init=weak, SNR=0 dB, T=64, RIS=8x8: Y_NMSE median 2.999e-04 -> 2.999e-04, pos median 3.321e-02 -> 3.321e-02 m, pos p90 7.128e-02 -> 8.581e-02 m, pos p95 3.352e-01 -> 5.916e-01 m, success20 94.0% -> 92.0%, VP conv 100.0% -> 100.0%, fail>50cm 6.0% -> 8.0%, fail>1m 2.0% -> 2.0%, improve(pos) 48.0%, gain20 -2.0%, gain50 -2.0%, VP worse(noisy) 0.0% -> 0.0%
init=weak, SNR=0 dB, T=128, RIS=16x16: Y_NMSE median 1.659e-04 -> 1.663e-04, pos median 1.059e-02 -> 1.059e-02 m, pos p90 2.350e-02 -> 2.350e-02 m, pos p95 7.608e-01 -> 8.605e-01 m, success20 92.0% -> 92.0%, VP conv 100.0% -> 100.0%, fail>50cm 8.0% -> 8.0%, fail>1m 0.0% -> 0.0%, improve(pos) 48.0%, gain20 0.0%, gain50 0.0%, VP worse(noisy) 0.0% -> 0.0%
init=weak, SNR=0 dB, T=128, RIS=32x32: Y_NMSE median 1.656e-04 -> 1.548e-04, pos median 5.467e-03 -> 4.762e-03 m, pos p90 6.284e-01 -> 5.754e-02 m, pos p95 1.167e+00 -> 5.424e-01 m, success20 80.0% -> 90.0%, VP conv 100.0% -> 100.0%, fail>50cm 12.0% -> 6.0%, fail>1m 8.0% -> 4.0%, improve(pos) 54.0%, gain20 10.0%, gain50 6.0%, VP worse(noisy) 0.0% -> 0.0%
init=weak, SNR=0 dB, T=128, RIS=8x8: Y_NMSE median 1.535e-04 -> 1.518e-04, pos median 1.686e-02 -> 1.552e-02 m, pos p90 1.191e-01 -> 4.803e-02 m, pos p95 6.142e-01 -> 6.329e-02 m, success20 90.0% -> 96.0%, VP conv 100.0% -> 100.0%, fail>50cm 10.0% -> 4.0%, fail>1m 0.0% -> 0.0%, improve(pos) 52.0%, gain20 6.0%, gain50 6.0%, VP worse(noisy) 0.0% -> 0.0%
init=weak, SNR=5 dB, T=16, RIS=16x16: Y_NMSE median 4.528e-04 -> 4.574e-04, pos median 2.203e-02 -> 2.203e-02 m, pos p90 7.453e-01 -> 8.357e-01 m, pos p95 1.155e+00 -> 1.111e+00 m, success20 80.0% -> 78.0%, VP conv 98.0% -> 100.0%, fail>50cm 18.0% -> 22.0%, fail>1m 10.0% -> 8.0%, improve(pos) 30.0%, gain20 -2.0%, gain50 -4.0%, VP worse(noisy) 0.0% -> 0.0%
init=weak, SNR=5 dB, T=16, RIS=32x32: Y_NMSE median 7.855e-01 -> 7.421e-01, pos median 7.241e-01 -> 5.622e-01 m, pos p90 1.176e+00 -> 1.185e+00 m, pos p95 1.316e+00 -> 1.319e+00 m, success20 34.0% -> 44.0%, VP conv 100.0% -> 98.0%, fail>50cm 62.0% -> 54.0%, fail>1m 32.0% -> 36.0%, improve(pos) 56.0%, gain20 10.0%, gain50 8.0%, VP worse(noisy) 0.0% -> 0.0%
init=weak, SNR=5 dB, T=16, RIS=8x8: Y_NMSE median 3.858e-04 -> 3.955e-04, pos median 3.837e-02 -> 3.857e-02 m, pos p90 6.296e-01 -> 6.781e-01 m, pos p95 6.882e-01 -> 1.006e+00 m, success20 80.0% -> 76.0%, VP conv 98.0% -> 98.0%, fail>50cm 18.0% -> 22.0%, fail>1m 4.0% -> 6.0%, improve(pos) 46.0%, gain20 -4.0%, gain50 -4.0%, VP worse(noisy) 0.0% -> 0.0%
init=weak, SNR=5 dB, T=32, RIS=16x16: Y_NMSE median 1.985e-04 -> 1.995e-04, pos median 1.002e-02 -> 1.001e-02 m, pos p90 9.378e-02 -> 6.969e-01 m, pos p95 8.938e-01 -> 8.759e-01 m, success20 90.0% -> 88.0%, VP conv 96.0% -> 94.0%, fail>50cm 10.0% -> 12.0%, fail>1m 4.0% -> 4.0%, improve(pos) 50.0%, gain20 -2.0%, gain50 -2.0%, VP worse(noisy) 0.0% -> 0.0%
init=weak, SNR=5 dB, T=32, RIS=32x32: Y_NMSE median 7.150e-02 -> 2.910e-04, pos median 4.095e-01 -> 1.177e-02 m, pos p90 1.254e+00 -> 1.254e+00 m, pos p95 1.511e+00 -> 1.393e+00 m, success20 46.0% -> 58.0%, VP conv 98.0% -> 96.0%, fail>50cm 46.0% -> 36.0%, fail>1m 28.0% -> 18.0%, improve(pos) 54.0%, gain20 12.0%, gain50 10.0%, VP worse(noisy) 0.0% -> 0.0%
init=weak, SNR=5 dB, T=32, RIS=8x8: Y_NMSE median 2.299e-04 -> 2.387e-04, pos median 2.555e-02 -> 2.629e-02 m, pos p90 5.922e-01 -> 6.110e-01 m, pos p95 6.349e-01 -> 6.541e-01 m, success20 86.0% -> 84.0%, VP conv 98.0% -> 98.0%, fail>50cm 14.0% -> 16.0%, fail>1m 2.0% -> 2.0%, improve(pos) 40.0%, gain20 -2.0%, gain50 -2.0%, VP worse(noisy) 0.0% -> 0.0%
init=weak, SNR=5 dB, T=64, RIS=16x16: Y_NMSE median 9.274e-05 -> 8.809e-05, pos median 8.760e-03 -> 7.691e-03 m, pos p90 2.382e-02 -> 2.069e-02 m, pos p95 3.435e-01 -> 2.573e-02 m, success20 94.0% -> 96.0%, VP conv 100.0% -> 100.0%, fail>50cm 6.0% -> 4.0%, fail>1m 0.0% -> 0.0%, improve(pos) 44.0%, gain20 2.0%, gain50 2.0%, VP worse(noisy) 0.0% -> 0.0%
init=weak, SNR=5 dB, T=64, RIS=32x32: Y_NMSE median 1.436e-04 -> 1.253e-04, pos median 8.954e-03 -> 5.885e-03 m, pos p90 1.126e+00 -> 1.087e+00 m, pos p95 1.320e+00 -> 1.320e+00 m, success20 62.0% -> 78.0%, VP conv 100.0% -> 98.0%, fail>50cm 32.0% -> 22.0%, fail>1m 18.0% -> 14.0%, improve(pos) 54.0%, gain20 16.0%, gain50 10.0%, VP worse(noisy) 0.0% -> 0.0%
init=weak, SNR=5 dB, T=64, RIS=8x8: Y_NMSE median 9.839e-05 -> 1.049e-04, pos median 1.769e-02 -> 1.842e-02 m, pos p90 3.909e-02 -> 1.076e-01 m, pos p95 5.114e-02 -> 5.801e-01 m, success20 96.0% -> 90.0%, VP conv 100.0% -> 100.0%, fail>50cm 4.0% -> 10.0%, fail>1m 0.0% -> 0.0%, improve(pos) 34.0%, gain20 -6.0%, gain50 -6.0%, VP worse(noisy) 0.0% -> 0.0%
init=weak, SNR=5 dB, T=128, RIS=16x16: Y_NMSE median 5.329e-05 -> 5.329e-05, pos median 5.244e-03 -> 5.244e-03 m, pos p90 1.268e-02 -> 1.268e-02 m, pos p95 1.465e-02 -> 1.465e-02 m, success20 96.0% -> 96.0%, VP conv 100.0% -> 100.0%, fail>50cm 4.0% -> 2.0%, fail>1m 4.0% -> 0.0%, improve(pos) 60.0%, gain20 0.0%, gain50 2.0%, VP worse(noisy) 0.0% -> 0.0%
init=weak, SNR=5 dB, T=128, RIS=32x32: Y_NMSE median 4.934e-05 -> 4.934e-05, pos median 2.655e-03 -> 2.654e-03 m, pos p90 9.035e-02 -> 6.310e-01 m, pos p95 1.124e+00 -> 1.124e+00 m, success20 90.0% -> 88.0%, VP conv 100.0% -> 100.0%, fail>50cm 10.0% -> 12.0%, fail>1m 8.0% -> 8.0%, improve(pos) 54.0%, gain20 -2.0%, gain50 -2.0%, VP worse(noisy) 0.0% -> 0.0%
init=weak, SNR=5 dB, T=128, RIS=8x8: Y_NMSE median 4.764e-05 -> 4.764e-05, pos median 8.791e-03 -> 8.789e-03 m, pos p90 1.913e-02 -> 1.913e-02 m, pos p95 2.380e-02 -> 2.379e-02 m, success20 98.0% -> 100.0%, VP conv 100.0% -> 100.0%, fail>50cm 2.0% -> 0.0%, fail>1m 0.0% -> 0.0%, improve(pos) 58.0%, gain20 2.0%, gain50 2.0%, VP worse(noisy) 0.0% -> 0.0%
init=weak, SNR=10 dB, T=16, RIS=16x16: Y_NMSE median 1.379e-04 -> 1.379e-04, pos median 8.543e-03 -> 8.544e-03 m, pos p90 9.842e-02 -> 3.163e-02 m, pos p95 9.999e-01 -> 8.248e-01 m, success20 90.0% -> 92.0%, VP conv 100.0% -> 100.0%, fail>50cm 10.0% -> 8.0%, fail>1m 6.0% -> 4.0%, improve(pos) 48.0%, gain20 2.0%, gain50 2.0%, VP worse(noisy) 0.0% -> 0.0%
init=weak, SNR=10 dB, T=16, RIS=32x32: Y_NMSE median 8.780e-01 -> 8.584e-01, pos median 9.123e-01 -> 9.123e-01 m, pos p90 1.359e+00 -> 1.359e+00 m, pos p95 1.497e+00 -> 1.497e+00 m, success20 14.0% -> 26.0%, VP conv 98.0% -> 96.0%, fail>50cm 74.0% -> 66.0%, fail>1m 36.0% -> 36.0%, improve(pos) 52.0%, gain20 12.0%, gain50 8.0%, VP worse(noisy) 0.0% -> 0.0%
