snr_db,seed,lambda_rel,lambda_floor,selected_branch,ue_position_rmse_m,y_nmse,raw_objective,total_runtime_s,assignment_margin,sigma_delta_t_ns,rank1_ratio_max,initial_z_residual,direct_vp_good,direct_vp_raw_objective,direct_vp_nfev,stage2_rescue_mode,jnpp_num_candidates,jnpp_best_objective,jnpp_best_clock_std_ns,jnpp_runtime_s,error_message
-10.0,2029,0.001,1e-12,direct_vp,0.0028017309306687934,1.7221879054326045e-05,3.3319348281536296,37.951341615989804,16.97946599657271,0.03657216315901984,0.15546577665301847,0.9088926900064066,True,3.3319348281536296,5,,nan,nan,nan,nan,
-10.0,2030,0.001,1e-12,direct_vp,0.0010900545385826637,4.621970475219484e-05,7.98264727763328,41.81238041899633,17.401940305041784,0.07074332354399082,0.17863991626535378,0.9078108255505706,True,7.98264727763328,5,,nan,nan,nan,nan,
-10.0,2031,0.001,1e-12,direct_vp,0.000811460617447257,2.140500957486982e-05,1.8360057918061332,39.06125809400692,19.21743495474584,0.05300557092931542,0.1183915550084758,0.9086296185457268,True,1.8360057918061332,5,,nan,nan,nan,nan,
-10.0,2032,0.001,1e-12,direct_vp,0.0005408778352328676,5.690169222638214e-05,4.750596863257251,39.555944378022105,19.14247884630204,0.04217436884552501,0.11065172732492562,0.9082965382155351,True,4.750596863257251,5,,nan,nan,nan,nan,
-10.0,2033,0.001,1e-12,direct_vp,0.002799428139231317,5.067714510350812e-05,0.46030315499122376,76.02712636100478,6.194106046392774,0.565247917606943,0.6066061080734663,0.9095899692535544,True,0.46030315499122376,7,,nan,nan,nan,nan,
-10.0,2034,0.001,1e-12,direct_vp,0.00023031480098617863,6.56386274616457e-06,3.616231640343719,40.239299206994474,12.9204164640835,0.14714071435373904,0.24468689550187073,0.909067380430715,True,3.616231640343719,5,,nan,nan,nan,nan,
-10.0,2035,0.001,1e-12,direct_vp,0.0007263695782069999,7.063119763190958e-05,3.921732630738414,45.34602595298202,16.18047609216461,0.041938754513098225,0.16399655512098107,0.9094144539010838,True,3.921732630738414,5,,nan,nan,nan,nan,
-10.0,2036,0.001,1e-12,direct_vp,0.0014451432463207959,3.287821709794229e-05,4.791155175997314,39.33526035700925,38.21096334620926,0.07191620133126977,0.1348939894059123,0.9092969200243022,True,4.791155175997314,5,,nan,nan,nan,nan,
-10.0,2037,0.001,1e-12,ris_only_stage2_then_vp,0.5091520960277288,0.9823749335276586,9.76587057233557,156.39066534498124,0.11879698080939881,33.660882404881335,0.9694017427923568,0.9094325848040533,False,9.781290354170128,20,robust_jnpp,1,0.9925223829216698,35.701502441320194,0.9120718399935868,
-10.0,2038,0.001,1e-12,direct_vp,0.0003764779620943726,3.136914172576963e-05,5.837365268656127,41.2612947569869,17.64695094188231,0.0610464425854115,0.14279229648460864,0.9090925213946054,True,5.837365268656127,5,,nan,nan,nan,nan,
-10.0,2039,0.001,1e-12,direct_vp,0.0009152675439463829,2.9733586069822347e-05,2.2703454577659485,40.08238587999949,7.17003174465387,0.2004444434828296,0.47349552834824044,0.9088992621139536,True,2.2703454577659485,5,,nan,nan,nan,nan,
-10.0,2040,0.001,1e-12,direct_vp,0.0013476956155512962,3.0157173025095082e-05,0.9646125590243771,40.08205395299592,21.482717878435892,0.1301035858285814,0.1525811093683747,0.9091347015897422,True,0.9646125590243771,5,,nan,nan,nan,nan,
-10.0,2041,0.001,1e-12,direct_vp,0.0019058798276145124,4.5467922723757336e-05,3.0982830350721273,51.081226772017544,21.225036733960277,0.02608288648884808,0.1455790417502842,0.9093704477552037,True,3.0982830350721273,5,,nan,nan,nan,nan,
-10.0,2042,0.001,1e-12,direct_vp,0.0011850995503297015,3.353865448420015e-05,1.0918225968706856,48.20103429199662,42.71613644105082,0.06120094274925575,0.10472678973258344,0.9100414620267517,True,1.0918225968706856,5,,nan,nan,nan,nan,
-10.0,2043,0.001,1e-12,direct_vp,0.001388507012394599,5.752000415925703e-05,3.061860663911819,45.41951089998474,28.93673452252328,0.020848352536772145,0.11649146435814213,0.9083972643471754,True,3.061860663911819,5,,nan,nan,nan,nan,
-10.0,2044,0.001,1e-12,direct_vp,0.000499883398213675,4.9264924851337795e-05,2.384540473743458,38.46215070001199,34.022204487279616,0.1388126113345237,0.1388531963610201,0.908912263737447,True,2.384540473743458,5,,nan,nan,nan,nan,
-10.0,2025,0.003,1e-12,direct_vp,0.0015076523662012583,2.2201100707865e-05,2.651258773715795,65.00235140300356,16.328763395175095,0.06722142341006926,0.1541952423591023,0.9071508298292308,True,2.651258773715795,5,,nan,nan,nan,nan,
-10.0,2026,0.003,1e-12,direct_vp,0.0005772814083363862,7.36742295791946e-05,4.702274846692378,40.86863961699419,20.385117873873234,0.014213501996742421,0.11000001509847601,0.9100489418832604,True,4.702274846692378,5,,nan,nan,nan,nan,
-10.0,2027,0.003,1e-12,direct_vp,0.001777155765254496,1.6181710346320725e-05,0.7882922958898319,58.44410960000823,38.047514622431784,0.10778258710132625,0.10474145115058653,0.908636695196441,True,0.7882922958898319,5,,nan,nan,nan,nan,
-10.0,2028,0.003,1e-12,direct_vp,0.0008494545676485768,4.567696663426439e-05,3.398525365832876,41.487079626997,17.932895635346746,0.009711151307361766,0.12940778168026673,0.909419366467613,True,3.398525365832876,5,,nan,nan,nan,nan,
