trial_id,seed,snr_db,failed,error,shared_data_hash,delta_position_error_m,delta_clock_error_ns,delta_range_rmse_m,delta_tau_rmse_s,delta_channel_y_nmse,delta_raw_objective,delta_regularized_objective,delta_route_runtime_s,delta_deployment_runtime_s,ccop_position_win,ccop_clock_win,ccop_channel_win,ccop_raw_objective_win,ccop_regularized_objective_non_degradation,ccop_incremental_runtime_win,old_outlier,ccop_outlier,outlier_rescued,outlier_introduced
33,680502834,-10.0,False,,3bd198cd98760eb4ea49,-4.969429087808841e-05,-0.022978161688471596,-0.004669453072340603,-1.2624437683994382e-12,-0.0017622346358044244,-0.0003139299365191306,-0.00031398485271139087,-0.04554670909419656,0.43608124693855643,True,True,True,True,True,True,True,True,False,False
34,605831450,-10.0,False,,8754e384ece52e6f7025,-3.2600716833419696e-05,0.022420113858464912,0.003588557878268707,3.2307293799392214e-12,-0.0013276273373767668,-0.00010681080173735591,-0.00010685602324567167,0.0071156760677695274,0.37818770622834563,True,False,True,True,True,False,True,True,False,False
35,2353888381,-10.0,False,,61190fecd1935aa10b08,-0.013654622018248175,-0.01802370192495418,-0.005197661467242638,-3.1627937038539175e-12,-0.0005811811663496352,-0.00036877414592151325,-0.0003685424985917507,0.05905395210720599,0.6009803300257772,True,True,True,True,True,False,False,False,False,False
36,983570348,-10.0,False,,cb905bd22c4b6f7b3c76,-2.167179165013522e-07,0.002492597543039137,0.0005859760130557633,6.762575159559125e-13,-0.00020208878786297235,-1.7153338554232178e-05,-1.7139108880126486e-05,-0.11375292297452688,0.39758914103731513,True,False,True,True,True,True,True,True,False,False
37,286724587,-10.0,False,,85447a8acccbf8659905,-0.043648562717827,-0.10561354452285864,-0.02757775938188277,-2.8758990936042966e-11,-0.024805804793929794,-0.006725745621745993,-0.006725922879693869,0.012267776764929295,0.5569054668303579,True,True,True,True,True,False,False,False,False,False
38,1881511804,-10.0,False,,a61b1b413bcbc188e15e,-0.0016049666760042504,-0.008142711513192732,-0.0012379700966330155,-7.86228303784443e-13,-6.331582810377799e-05,-3.141025627195759e-05,-3.141866744149624e-05,0.15436036605387926,0.534961154917255,True,True,True,True,True,False,False,False,False,False
39,2130163541,-10.0,False,,bb9f656d0909c398b1cf,-0.00039335464622647365,-0.07199845043449904,-0.016569449172542498,-4.360125571117341e-12,-0.016608683119717305,-0.0017766151734095459,-0.0017765693057996135,-0.04679828672669828,0.35476691205985844,True,True,True,True,True,True,True,True,False,False
40,1671808693,-10.0,False,,5e3e994b7d11e0120151,-0.03299911329194201,-0.10504300437497853,-0.030077547606004444,-7.642617016021093e-12,-0.01968845948607327,-0.002811311702365149,-0.002811493418339639,0.13564397487789392,0.5328996779862791,True,True,True,True,True,False,False,False,False,False
41,1052834405,-10.0,False,,60e163a18b2436ef044e,-0.007678658628936752,-0.015583843211440846,-0.006919211114366504,-1.0971661871298069e-12,-0.0019028374043475735,-0.0009010588444029466,-0.000901307353261771,0.10187738807871938,0.4883965100161731,True,True,True,True,True,False,False,False,False,False
42,4028604297,-10.0,False,,4eeca731f2fc503f7844,-0.025382894046601157,-0.0665646301583517,-0.02019370754532213,-1.539446712387953e-11,-0.018343371023069342,-0.008695359640848999,-0.008695535888630701,-0.0034187939018011093,0.5836109479423612,True,True,True,True,True,True,False,False,False,False
43,1419952921,-10.0,False,,d028429f447fd53cd312,-0.04478959776794291,-0.13683723400107137,-0.039786652006717174,-1.8169793985092523e-11,-0.0410001362011858,-0.021195898787256695,-0.02119354969757037,0.13173038489185274,0.5339269659016281,True,True,True,True,True,False,False,False,False,False
44,3890653440,-10.0,False,,7575a9b2caff66e2286e,-0.016889484082360826,-0.052125080780421655,-0.015240409171477258,-4.94060386905256e-12,-0.0049263191345721045,-0.0007446865080451559,-0.0007443734887424558,0.17011054302565753,0.533880592091009,True,True,True,True,True,False,False,False,False,False
45,4183453817,-10.0,False,,2a59fdf1eacc03cddb6a,-0.04192543257285419,-0.11802310313328626,-0.03552411783524749,-2.2031657712535594e-11,-0.09682961518909575,-0.05918077067510907,-0.05917516634872477,0.14501352794468403,0.5339789891149849,True,True,True,True,True,False,False,False,False,False
46,2935528983,-10.0,False,,b39cbd612119a98f7fec,-0.046063535950636725,-0.055636930504587824,0.0037549994389707887,-1.1531090462005362e-11,-0.008413188080413013,-0.002946253815001132,-0.002940805709924721,0.10045535187236965,0.49027335876598954,True,True,True,True,True,False,True,True,False,False
47,2160397598,-10.0,False,,9271a06940ac2c66f572,-0.004383581172817969,-0.014453310165813055,-0.0032405740286784762,-3.5031582666504074e-13,-0.0005777835467603317,-8.848000631589414e-05,-8.847914551335379e-05,0.17135712900198996,0.5575468670576811,True,True,True,True,True,False,False,False,False,False
48,81257469,-10.0,False,,d15856227eb9ea034f8e,-0.010295228148024518,-0.029653508944260616,-0.008838989069934291,-3.765242974885074e-12,-0.005069548088715641,-0.0019925083008573985,-0.001991816056926332,0.10022318200208247,0.5568722959142178,True,True,True,True,True,False,False,False,False,False
49,2856970602,-10.0,False,,297c9472ff774d127204,-5.837854784840335e-05,-0.009146487408499382,-0.003389314127240025,-7.032898552653067e-12,-0.011827054470114902,-0.005884554697682454,-0.0058834677599755025,-0.003867805004119873,0.3772015329450369,True,True,True,True,True,True,True,True,False,False
50,1106178032,-10.0,False,,fe0fe7e6d5c593ed832d,-0.0007225048402044187,-0.024564995235583295,-0.0034225505547829695,1.0773754506317338e-11,-0.04378768847958643,-0.011672037210877395,-0.01167223575311871,0.0322343991138041,0.42048672400414944,True,True,True,True,True,False,True,True,False,False
51,2563947575,-10.0,False,,7dd14641d6392364481b,-8.026483711010002e-08,0.00013146026759909904,2.7479675557991884e-05,2.7916067865087693e-14,-2.2600972383150786e-06,-1.0512639203597018e-07,-1.0436573916194902e-07,-0.24092845572158694,0.3551804660819471,True,False,True,True,True,True,True,True,False,False
52,2538379628,-10.0,False,,256d6244bb41fc64abb5,-0.030897598658749106,-0.09728869872924231,-0.027837341034701132,-6.267755124028039e-12,-0.013543424484971232,-0.002154668788471925,-0.0021546339213496246,0.10430403635837138,0.49060960416682065,True,True,True,True,True,False,False,False,False,False
53,2118589924,-10.0,False,,c1d554331b95cd66e01f,-0.023441556215486666,-0.07633586218476135,-0.01999803548910697,-1.916259533159077e-11,-0.010787619503536208,-0.005313235246983794,-0.005312518550574907,0.0347235428635031,0.3986781348939985,True,True,True,True,True,False,False,False,False,False
54,4045394661,-10.0,False,,1b9934177e49bb06a889,-0.019915481229434803,-0.060572307881535524,-0.016543220409731434,-1.0837197307231207e-11,-0.007311252875475098,-0.0013582054641472219,-0.0013577999424994047,0.015268424991518259,0.5579583449289203,True,True,True,True,True,False,False,False,False,False
55,3516681027,-10.0,False,,37aaf8c6fd1346259683,-0.01621510561649601,-0.04053455778679112,-0.013223873266169311,-1.6629272260775943e-12,-0.008784030973096001,-0.006368601466210322,-0.006368390422863968,-0.9090497852303088,0.7949253439437598,True,True,True,True,True,True,False,False,False,False
56,1197201596,-10.0,False,,1f391ec07803629ccbee,-0.004858015855613143,-0.003869475812456536,-0.003990020915271582,4.0048959794902245e-13,-0.0006978817260448829,-0.0004989019257193306,-0.0004987101485243173,0.06776432716287673,0.46735495515167713,True,True,True,True,True,False,False,False,False,False
57,3704492712,-10.0,False,,82ec0ec7bc88b8afe2ac,-0.005823222092852703,-0.015079713107870658,-0.005649091361008744,-2.036137227391929e-12,-0.001509961989431744,-0.0010648860989901365,-0.001065636431466288,0.0266367110889405,0.44647069508209825,True,True,True,True,True,False,False,False,False,False
58,2401019122,-10.0,False,,06bcd6b6ec777534df5b,-0.035656845212998375,-0.11089334860028803,-0.030192749517513554,-2.650924851645554e-11,-0.04186034036571764,-0.0161176290167635,-0.016118554355788905,0.1219015121459961,0.5113052329979837,True,True,True,True,True,False,False,False,False,False
59,3465536290,-10.0,False,,e56ad1e5be8c31908754,-0.004002969658965338,-0.009827384663606728,-0.0026796290519361184,-1.298762365363358e-12,-0.0002822494154415037,-0.00015542450964645127,-0.00015535861604298873,0.03530906606465578,0.4681622211355716,True,True,True,True,True,False,False,False,False,False
60,3753811929,-10.0,False,,f89bf55cb92c5d2386e3,-0.028744294584197652,-0.07800749586510015,-0.023316971270801803,-5.3183485174894955e-12,-0.024216235145139584,-0.009346605075644998,-0.009346516525633675,-0.015316396951675415,0.46782446606084704,True,True,True,True,True,True,False,False,False,False
61,1797336650,-10.0,False,,de0ac28617e791ccef57,-0.08407998378540087,-0.26402508895617816,-0.07661855361767124,-2.3177844763288045e-11,-0.14663513463575903,-0.01166474307944143,-0.01166483773666116,0.1214991332963109,0.5133269364014268,True,True,True,True,True,False,False,False,False,False
62,1035509023,-10.0,False,,62951e03f98b92d7a244,-0.19600784217608724,0.025155301858019785,0.00723712866734344,-6.671606124370015e-13,-0.004122954169520687,-0.0005070211385329593,-0.0005067318060982817,-0.35083038196898997,0.5099866869859397,True,False,True,True,True,True,True,True,False,False
63,368542159,-10.0,False,,ea522764d4aaa7d7c54f,-0.048173830509308624,-0.14130036349722683,-0.040142747913156245,-2.8566421177318973e-11,-0.1054918838365508,-0.09047218489841491,-0.09046916164960273,0.14562955079600215,0.5601099927444011,True,True,True,True,True,False,False,False,False,False
64,3463651332,-10.0,False,,58ae115d901f52778b03,-0.060999134118227875,-0.18028631014863433,-0.05184790043809759,-3.6045448158256806e-11,-0.13392082616568612,-0.080455955463278,-0.08046128416631149,0.11852462589740753,0.5354939280077815,True,True,True,True,True,False,False,False,False,False
65,3770249689,-10.0,False,,511a91c8475e4cccfb29,-0.3034331250305218,-0.10879763204092492,-0.03718367862837157,-1.8925519929092118e-11,-0.05814997002580266,-0.0031153768089079437,-0.003115089669418536,0.25787736591883004,0.6714382339268923,True,True,True,True,True,False,True,False,True,False
66,717028307,-10.0,False,,a27a2c7f5e7daf154c12,-0.08367210184691964,-0.06327376952617561,0.0025529012378178693,-2.0798391765206513e-11,-0.014922876828893702,-0.004064855579281268,-0.004064631667456631,0.09418960800394416,0.5577268979977816,True,True,True,True,True,False,True,True,False,False
67,1209727556,-10.0,False,,155fb212a2f3c0986039,-1.3179065209478757e-05,-0.013708793609147146,-0.0025552415977725083,-1.5649850544838999e-12,-0.00022004166589731367,-8.872668635540037e-05,-8.819160102291335e-05,-0.05480529204942286,0.46878612507134676,True,True,True,True,True,True,True,True,False,False
