trial_id,seed,hash_match,position_error_m,outlier_flag,boundary_hit,cp_ngc_statistic,cp_ngc_truth_statistic,cp_ngc_dof,cp_ngc_pvalue,cp_ngc_truth_pvalue,oracle_bias_corrected_statistic,oracle_bias_corrected_truth_statistic,oracle_bias_corrected_pvalue,oracle_bias_corrected_truth_pvalue,cp_ngc_delta_t_gls_ns,projected_geometry_rank,cert_information_min_eigenvalue,assignment_margin,selected_clock_std_ns,max_ris_residual,stage1_runtime_s,threshold_a0p05,rejected_a0p05,truth_rejected_a0p05,oracle_bias_corrected_rejected_a0p05,oracle_bias_corrected_truth_rejected_a0p05,threshold_a0p01,rejected_a0p01,truth_rejected_a0p01,oracle_bias_corrected_rejected_a0p01,oracle_bias_corrected_truth_rejected_a0p01
21,1157340362,False,0.9997579197879762,True,False,71633.98023956042,766.3101005648422,11,0.0,3.230888120001575e-157,72480.7364559421,855.5883003811109,0.0,2.1759199892812154e-176,617.6223045376186,3,108.56437225388022,0.09151273116952126,11.829149585185622,0.9883500320167575,12.217845185001352,19.67513757268249,True,True,True,True,24.724970311318277,True,True,True,True
22,2486019150,False,0.0009197471045334222,False,False,9.715409891928806,9.368076240583243,11,0.556153370134786,0.5879572807267852,1.1740429370174053,1.1960423132805247,0.9998867599788582,0.9998757336761414,6.941200938821031,3,49.81064168378527,3.2054816737034604,0.21308573942060924,0.31768682966903034,12.143517658001656,19.67513757268249,False,False,False,False,24.724970311318277,False,False,False,False
23,3565776097,False,0.7000004646769331,True,True,43.209895619782436,20.476237689268086,11,9.984221145929287e-06,0.0392215795114421,67.82503199814587,9.394129242961666,3.1584666689099897e-10,0.5855617742373638,5.191909574897152,3,54.682053329912,4.9252279174029185,0.39795406449681575,0.20692275154730028,12.213071961999958,19.67513757268249,True,True,True,False,24.724970311318277,True,False,True,False
24,1017552053,False,0.0017617949088090349,False,False,9.33814366762552,9.375095682467336,11,0.5907110125119823,0.5873117369794669,1.081695971462927,1.0812073072010417,0.9999249969389702,0.9999251678171471,5.103415462540219,3,49.8233699227713,4.283890461831913,0.08065682451595904,0.36974317426489955,11.77088002200253,19.67513757268249,False,False,False,False,24.724970311318277,False,False,False,False
25,495786482,False,0.0007618046288821404,False,False,10.007870470378414,10.041297550133923,11,0.5296793341705112,0.5266762762976667,0.5744005961307244,0.5715524960768633,0.9999971452186323,0.9999972188791815,5.373246864932094,3,49.818488314559175,5.066223513176116,0.1480248186076301,0.15899853117813026,11.593563582002389,19.67513757268249,False,False,False,False,24.724970311318277,False,False,False,False
26,2384823148,False,0.0011884823070870203,False,False,71.33251121673841,69.83125500044137,11,6.813049629500418e-11,1.3153030600832373e-10,64.67943219838583,62.81081853240726,1.2380497701804191e-09,2.7742513814574153e-09,4.695238310798847,3,50.635794589450214,0.9085259454451473,2.0225598562714113,0.5163512700756933,12.564301128997613,19.67513757268249,True,True,True,True,24.724970311318277,True,True,True,True
27,3468878064,False,0.0003167344189790005,False,False,15.675604053178526,15.741089515159393,11,0.15360759713128638,0.15101826194183424,3.8882957276804615,3.893986644965548,0.9730713311523119,0.9729160722586964,5.308446243854415,3,49.8908299587553,5.6688416072346035,0.12351200962756573,0.18550746878839425,11.992929433999961,19.67513757268249,False,False,False,False,24.724970311318277,False,False,False,False
28,1456778205,False,0.0008942060611839906,False,False,13.568777492362003,13.4061643268508,11,0.25777928727841654,0.26760933475139775,4.392777511955847,4.381159672495095,0.9569889928510119,0.9574133445737263,5.143314128236303,3,49.90344534405775,3.3245714361635548,0.27749055356018876,0.3025936585403125,12.12731478600108,19.67513757268249,False,False,False,False,24.724970311318277,False,False,False,False
29,3705980607,False,0.0019790398139946518,False,False,11.221457384785182,11.290027133755927,11,0.4249012167631014,0.419295399950494,0.6428786760877623,0.6513048957427242,0.9999948465391807,0.9999944834753042,4.988893202549469,3,49.811872184058046,3.692981970380105,0.13403373743945418,0.2822507852289921,12.689291475002392,19.67513757268249,False,False,False,False,24.724970311318277,False,False,False,False
30,1122580844,False,0.0004766271592740841,False,False,17.156052695125226,17.32630277131342,11,0.1033435785954449,0.09858732946529579,1.6415725375732124,1.6671281488262455,0.9994110487774559,0.9993655929654441,5.111701256175876,3,49.812563612418586,3.476373629662942,0.4733894523447856,0.2549222202255081,12.174865714998305,19.67513757268249,False,False,False,False,24.724970311318277,False,False,False,False
31,1327027453,False,0.0009880852271340783,False,False,14.711199440127398,14.933038995768701,11,0.19610377613652458,0.18558300878798045,1.4571819302244096,1.4181097256421777,0.9996697971085222,0.999710981235741,5.038018071898096,3,49.821716649869494,5.238740122118682,0.3320908894147905,0.22158841830833242,12.398002712001471,19.67513757268249,False,False,False,False,24.724970311318277,False,False,False,False
32,1372647326,False,0.001894637597750865,False,False,997.2513922059321,994.5832256378737,11,7.493247470699831e-207,2.810799109501403e-206,1163.99311759897,1160.8113067650365,9.305855662315741e-243,4.511671568509204e-242,4.924338573532088,3,49.959310166785855,0.0395562011699244,17.83402709067685,0.9887241084634759,11.993569865000609,19.67513757268249,True,True,True,True,24.724970311318277,True,True,True,True
33,680502834,False,0.7000010641039338,True,True,35.6511130657495,13.995357461707131,11,0.00019338547773723724,0.23325047474175534,62.472246084014145,4.924777383586531,3.2097155877152216e-09,0.9347547094774629,5.687457942007868,3,54.807927559740335,7.788788688540798,0.07160436020331899,0.14813682252489652,11.95554528899811,19.67513757268249,True,False,True,False,24.724970311318277,True,False,True,False
34,605831450,False,0.7000004804983287,True,True,33.006770806413776,17.626462159050668,11,0.0005248351625795283,0.09066257645038081,55.27634225153272,4.267779911167374,6.89757888554638e-08,0.9614190316732354,5.2407498207657355,3,54.72714331826504,2.501071957218845,0.5913208068717722,0.36545550653551606,13.283443054002419,19.67513757268249,True,False,True,False,24.724970311318277,True,False,True,False
35,2353888381,False,0.0009214686375070899,False,False,12.05774012492967,11.760252604911779,11,0.3593187706979504,0.38193148033081026,3.745055726502248,3.628966795304478,0.9767901253429376,0.9795426150320627,5.583555029558283,3,49.8799177880578,3.414908136646361,0.07602912262156922,0.3214186379166812,13.01626528700217,19.67513757268249,False,False,False,False,24.724970311318277,False,False,False,False
36,983570348,False,0.7000003254136018,True,True,32.28580837449997,17.27381654248027,11,0.0006861909496555001,0.10003303460991737,55.513701851722516,5.096399683293654,6.240217090821035e-08,0.9264082023195428,5.254292352065406,3,54.905007411233115,5.634444178253328,0.27214198943899615,0.2623364400902432,12.383044472997426,19.67513757268249,True,False,True,False,24.724970311318277,True,False,True,False
37,286724587,False,0.0009898916957057256,False,False,11.232948250903467,10.986433895427506,11,0.42395911698499184,0.4444005081074497,2.5851408920102097,2.586517255666983,0.995152190634171,0.9951407248173774,5.149128073787518,3,49.7810985421676,3.869258452578379,0.1211679041440118,0.29736602849033933,12.652008039000066,19.67513757268249,False,False,False,False,24.724970311318277,False,False,False,False
38,1881511804,False,0.0010297652576759739,False,False,16.77750345452984,17.12287712282111,11,0.11463142688626582,0.10429308445392646,2.135533315389498,2.2142597594325295,0.9979602638592856,0.9975904619073829,5.5247923898739035,3,49.826306420678556,5.8067631726010545,0.5222184631404903,0.2663005919980678,13.008696813001734,19.67513757268249,False,False,False,False,24.724970311318277,False,False,False,False
39,2130163541,False,0.7000000216938573,True,True,34.94626542842043,12.87819672836022,11,0.0002529089690278223,0.3013609439119806,61.55567956704538,4.39389568613563,4.7601021359723035e-09,0.95694801379504,4.822081950681624,3,54.67384893385241,4.943082609690466,0.17415987040498154,0.19552346197102374,12.651516770998569,19.67513757268249,True,False,True,False,24.724970311318277,True,False,True,False
40,1671808693,False,0.0009585229780145219,False,False,10.836037218510354,10.88611411722195,11,0.45710017009127557,0.45285309982325184,2.0672202103574384,2.278241646234067,0.9982454203266242,0.9972551634848164,4.9553175709262804,3,49.81026783702767,4.677840842604997,0.17235629946502873,0.20294822249298125,13.113327830000344,19.67513757268249,False,False,False,False,24.724970311318277,False,False,False,False
41,1052834405,False,0.0006848796803010706,False,False,11.371794666620058,11.33938491815564,11,0.41266145502400825,0.4152842364353223,1.5151359666488318,1.5259699204301074,0.9996005494992913,0.9995864534622823,5.313216031220203,3,49.80908545744549,5.049643671341567,0.15440935442369105,0.22328675660430955,13.033588162001251,19.67513757268249,False,False,False,False,24.724970311318277,False,False,False,False
